paragraph,url
"Edital Nº 002/2024, - ingresso nos bacharelados e licenciaturas interdisciplinares",https://www.ufabc.edu.br/images/stories/comunicare/boletimdeservico/boletim_servico_ufabc_1311.pdf#page=160
"Retificação Nº 009/2024, - retifica o Anexo 7 do Edital Nº 002/2024",https://www.ufabc.edu.br/images/stories/comunicare/boletimdeservico/boletim_servico_ufabc_1316.pdf#page=104
"Portaria Nº 034/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI e Renda",/pdf/portaria_34_2024_Resultado_Cotas__PPI_3_Chamada_Lista_de_espera_em_anlise.pdf
"Portaria Nº 030/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_30_2024_Resultado_%20Recurso_3_Chamada_Lista_de_Espera.pdf
"Portaria Nº 029/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI e Renda",/pdf/portaria_29_2024_3_lista_espera_resultado_ppi_renda.pdf
"Portaria Nº 026/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_26_2024_3_lista_espera_resultado_recursos.pdf
"Portaria Nº 025/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades Ampla Concorrência, Escola pública, PPI e Renda",/pdf/portaria_25_2024_3_lista_espera_resultado_ampla_ep_ppi_renda.pdf
"Portaria Nº 016/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades Ampla Concorrência, Escola pública, PPI e Renda",/pdf/portaria_16_2024_3_lista_espera_resultados_ampla_ep_ppi_renda.pdf
Motivo dos indeferimentos,/pdf/portaria_16_2024_3_lista_espera_resultados_ampla_ep_ppi_renda_motivo.pdf
"Portaria Nº 023/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_23_2024_2_lista_espera_resultado_recurso.pdf
"Portaria Nº 019/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_19_2024_2_lista_espera_resultado_recursos.pdf
"Portaria Nº 015/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_15_2024_2_lista_espera_resultado_ppi_pcd_renda_trans.pdf
Motivo dos indeferimentos,/pdf/portaria_15_2024_2_lista_espera_resultado_ppi_pcd_renda_trans_motivo.pdf
"Portaria Nº 013/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_13_2024_2_lista_espera_resultado_ppi_pcd_renda_trans.pdf
"Portaria Nº 024/2024, - retifica a Portaria Nº 013/2024",/pdf/portaria_24_2024_2_lista_espera_retifica_portaria_13.pdf
